Epoch,Loss,Value
0,recon_loss,436.2465673376013
0,kl_loss,6.40022889773051
0,kl_loss_0,0.43308871101450036
0,kl_loss_1,0.10023902932664862
0,kl_loss_2,1.6685157793539542
0,kl_loss_3,1.2564438669769853
0,kl_loss_4,0.4401327809663834
0,kl_loss_5,1.2498203030338995
0,kl_loss_6,0.363269228902128
0,kl_loss_7,0.6769994541450783
0,kl_loss_8,0.10665092265440358
0,kl_loss_9,0.1050688690609402
0,loss,462.94185723198785
Epoch,Loss,Value
0,recon_loss,503.907869692202
0,kl_loss,0.9100392826453403
0,kl_loss_0,0.033341467647847754
0,kl_loss_1,0.03568793166670258
0,kl_loss_2,0.4356390439249851
0,kl_loss_3,0.03199638214169277
0,kl_loss_4,0.04422428628809198
0,kl_loss_5,0.14967624708596203
0,kl_loss_6,0.026653446058777196
0,kl_loss_7,0.049639555504890506
0,kl_loss_8,0.05418691040810059
0,kl_loss_9,0.04899403954752617
0,loss,517.0346894440828
